GRUPO ECONÔMICO;VARIÁVEL;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12
ALGAR;Indicador de Desempenho no Atendimento (IDA);94.4444444444444;94.7530864197531;88.5545785756447;100.0;93.7134502923977;100.0;93.7169312169312;88.1707317073171;94.921875;94.5165945165945;100.0;100.0
EMBRATEL;Indicador de Desempenho no Atendimento (IDA);97.1749610391042;92.7707727877978;80.7687904244964;74.110162079583;70.5680818278813;62.4210422423011;61.9993711068153;69.1238045011594;80.0229040481426;80.4750356686778;83.1689751282807;84.821
GVT;Indicador de Desempenho no Atendimento (IDA);84.6896986058013;82.3687405322567;64.3502498672445;70.578205222245;72.4120322572167;76.4139636284483;75.0709825113194;79.3357961168092;80.6190031685456;78.5983545286148;79.5220771930754;76.821
OI;Indicador de Desempenho no Atendimento (IDA);44.5313372625639;26.1866301449773;0.0;0.0;0.0;0.0;0.0;0.0;4.40727932303243;12.344184548108;14.5501905421567;13.599
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);93.4895833333333;100.0;82.977207977208;93.2692307692308;86.6369047619048;94.140625;92.6470588235294;86.2907375643225;79.7589869281046;100.0;78.3133943232465;93.59
TIM;Indicador de Desempenho no Atendimento (IDA);90.4375169300316;89.8612535315266;73.7391814781445;86.4010416009052;77.0739295691595;74.1102119730638;75.5682952862996;77.6022662361585;73.6948895218015;76.8375182369654;69.8004721861482;79.167
VIVO;Indicador de Desempenho no Atendimento (IDA);66.8396365234617;47.5552290050045;17.5833347848387;9.27170100503962;50.3606294558575;61.1644993424914;55.0676328741761;57.9943187894696;50.5327665107316;54.8127080229573;48.1879454942404;58.702
ALGAR;Índice de Reclamações;0.172523813262879;0.234654059080678;0.334539045253714;0.320452301699908;0.244419621321109;0.201854713734771;0.200125793355824;0.216315690062879;0.270879119134964;0.243565289731983;0.230614920469444;0.226
EMBRATEL;Índice de Reclamações;0.461701402592249;0.62025217963928;0.83845611893529;0.90524206309669;1.13210614891735;1.20914366739389;1.25856472884859;1.10277679990465;1.07917545426687;1.0628987159276;0.965916895381896;0.906
GVT;Índice de Reclamações;0.911170850191154;0.994725340838759;1.6433910047792;1.41918461199918;1.3531668387402;1.20909730937586;1.2574446295925;1.10391133979487;1.05771588593236;1.13045923696987;1.09720522104928;1.194
OI;Índice de Reclamações;1.95457240728039;2.51495297134397;3.80971566795405;3.61004691892007;3.78936485706291;3.50791179252378;3.92981816245659;3.41734372931174;3.28186327760284;3.06537688026466;2.98505264572497;3.022
SERCOMTEL;Índice de Reclamações;0.216919739696312;0.251169236099082;0.30921061107747;0.2810507892843;0.253538981618424;0.13870674871381;0.214482172746465;0.230637944554638;0.212929407638738;0.174434541361752;0.239338106340397;0.214
TIM;Índice de Reclamações;0.704249390518863;0.724994872865043;1.3053894667868;0.849562502367411;0.938694240208246;1.10999353401825;1.23954136969321;1.16631841549829;1.30698397721515;1.19384934346925;1.44718300129867;1.11
VIVO;Índice de Reclamações;1.01760541191484;1.30852521394321;1.92510148478148;1.72032461446585;1.49682611787482;1.48352987933378;1.71042835674796;1.60931660045979;1.87648409039571;1.98674251117354;1.81692379083526;1.645
ALGAR;Quantidade de acessos em serviço;904223.0;920504.0;923659.0;926815.0;932822.0;936317.0;944406.0;947689.0;945071.0;948411.0;949635.0;947069.0
EMBRATEL;Quantidade de acessos em serviço;11693705.0;11733937.0;11731085.0;11833299.0;11796597.0;11757908.0;11589392.0;11612504.0;11636662.0;11636104.0;11575530.0;11622227.0
GVT;Quantidade de acessos em serviço;4596284.0;4627408.0;4669613.0;4703405.0;4739253.0;4769674.0;4808164.0;4837345.0;4852910.0;4857318.0;4831366.0;4679962.0
OI;Quantidade de acessos em serviço;15663784.0;16069883.0;16629325.0;15996745.0;15889998.0;15770636.0;15682405.0;15565891.0;15566462.0;15314267.0;15209782.0;15104710.0
SERCOMTEL;Quantidade de acessos em serviço;225890.0;230920.0;232851.0;234833.0;236650.0;237912.0;237782.0;238469.0;239516.0;240778.0;242335.0;243425.0
TIM;Quantidade de acessos em serviço;556621.0;555866.0;390688.0;554403.0;553961.0;556760.0;564725.0;567598.0;572310.0;578800.0;579056.0;591903.0
VIVO;Quantidade de acessos em serviço;10378286.0;10570679.0;10540743.0;10510807.0;10511575.0;10479735.0;10444752.0;10151514.0;10305976.0;10261521.0;10242587.0;10188235.0
ALGAR;Quantidade de reabertas;7.0;9.0;22.0;17.0;16.0;14.0;19.0;18.0;19.0;12.0;17.0;8.0
EMBRATEL;Quantidade de reabertas;383.0;448.0;663.0;796.0;1034.0;1236.0;1315.0;1038.0;899.0;830.0;648.0;650.0
GVT;Quantidade de reabertas;253.0;289.0;530.0;436.0;387.0;282.0;282.0;270.0;217.0;205.0;229.0;264.0
OI;Quantidade de reabertas;2384.0;2202.0;4824.0;3242.0;4493.0;4155.0;4506.0;4492.0;4842.0;3742.0;3708.0;3715.0
SERCOMTEL;Quantidade de reabertas;5.0;0.0;10.0;7.0;6.0;3.0;6.0;7.0;4.0;3.0;8.0;4.0
TIM;Quantidade de reabertas;23.0;19.0;28.0;29.0;49.0;50.0;47.0;42.0;58.0;45.0;63.0;50.0
VIVO;Quantidade de reabertas;766.0;871.0;1506.0;1286.0;1834.0;1238.0;1152.0;1255.0;1326.0;1582.0;1653.0;1504.0
ALGAR;Quantidade de reclamações;156.0;216.0;309.0;297.0;228.0;189.0;189.0;205.0;256.0;231.0;219.0;214.0
EMBRATEL;Quantidade de reclamações;5399.0;7278.0;9836.0;10712.0;13355.0;14217.0;14586.0;12806.0;12558.0;12368.0;11181.0;10535.0
GVT;Quantidade de reclamações;4188.0;4603.0;7674.0;6675.0;6413.0;5767.0;6046.0;5340.0;5133.0;5491.0;5301.0;5590.0
OI;Quantidade de reclamações;30616.0;40415.0;63353.0;57749.0;60213.0;55322.0;61629.0;53194.0;51087.0;46944.0;45402.0;45647.0
SERCOMTEL;Quantidade de reclamações;49.0;58.0;72.0;66.0;60.0;33.0;51.0;55.0;51.0;42.0;58.0;52.0
TIM;Quantidade de reclamações;392.0;403.0;510.0;471.0;520.0;618.0;700.0;662.0;748.0;691.0;838.0;657.0
VIVO;Quantidade de reclamações;10561.0;13832.0;20292.0;18082.0;15734.0;15547.0;17865.0;16337.0;19339.0;20387.0;18610.0;16756.0
ALGAR;Quantidade de Reclamações no Período;481.0;453.0;493.0;685.0;826.0;834.0;712.0;605.0;582.0;650.0;692.0;705.0
EMBRATEL;Quantidade de Reclamações no Período;19598.0;17313.0;19329.0;25628.0;14194.0;34172.0;38323.0;42152.0;41599.0;39953.0;37754.0;36120.0
GVT;Quantidade de Reclamações no Período;15783.0;13493.0;12390.0;16454.0;18933.0;20756.0;18851.0;18225.0;17145.0;16504.0;15955.0;15919.0
OI;Quantidade de Reclamações no Período;120187.0;101913.0;99313.0;134437.0;161551.0;181400.0;173337.0;177233.0;170150.0;165909.0;151221.0;143435.0
SERCOMTEL;Quantidade de Reclamações no Período;126.0;130.0;149.0;180.0;196.0;196.0;156.0;141.0;137.0;156.0;147.0;151.0
TIM;Quantidade de Reclamações no Período;1161.0;1117.0;1098.0;1351.0;1411.0;1485.0;1590.0;1827.0;2028.0;2140.0;2115.0;2277.0
VIVO;Quantidade de Reclamações no Período;37851.0;32340.0;32803.0;44703.0;52188.0;54111.0;49372.0;49180.0;49778.0;53566.0;56078.0;58341.0
ALGAR;Quantidade de resolvidas;156.0;215.0;265.0;296.0;228.0;187.0;189.0;205.0;256.0;231.0;219.0;214.0
EMBRATEL;Quantidade de resolvidas;5316.0;7134.0;9613.0;10370.0;12945.0;13108.0;14113.0;12688.0;12477.0;12274.0;11067.0;10486.0
GVT;Quantidade de resolvidas;4141.0;4292.0;7420.0;6606.0;6410.0;5685.0;5984.0;5175.0;5082.0;5448.0;5257.0;5569.0
OI;Quantidade de resolvidas;30518.0;30891.0;53856.0;47108.0;55985.0;52511.0;49988.0;48719.0;47932.0;45606.0;44093.0;44110.0
SERCOMTEL;Quantidade de resolvidas;48.0;56.0;65.0;65.0;56.0;32.0;51.0;53.0;48.0;42.0;58.0;51.0
TIM;Quantidade de resolvidas;354.0;372.0;466.0;429.0;447.0;618.0;642.0;646.0;748.0;691.0;806.0;657.0
VIVO;Quantidade de resolvidas;8945.0;8850.0;14359.0;13487.0;14823.0;15527.0;17202.0;16280.0;19324.0;20360.0;18587.0;16744.0
ALGAR;Quantidade de Sol. Resolvidas em até 5 dias;130.0;182.0;251.0;258.0;185.0;162.0;161.0;166.0;217.0;193.0;192.0;182.0
EMBRATEL;Quantidade de Sol. Resolvidas em até 5 dias;4634.0;6192.0;8083.0;8616.0;10156.0;10763.0;11428.0;10835.0;10754.0;10696.0;9642.0;9080.0
GVT;Quantidade de Sol. Resolvidas em até 5 dias;3612.0;3985.0;6524.0;5800.0;5571.0;5085.0;5324.0;4577.0;4462.0;4728.0;4581.0;4865.0
OI;Quantidade de Sol. Resolvidas em até 5 dias;20352.0;23497.0;30933.0;28293.0;33758.0;34465.0;38992.0;36610.0;38648.0;36553.0;35492.0;35799.0
SERCOMTEL;Quantidade de Sol. Resolvidas em até 5 dias;45.0;54.0;56.0;59.0;48.0;30.0;47.0;46.0;28.0;38.0;40.0;42.0
TIM;Quantidade de Sol. Resolvidas em até 5 dias;342.0;346.0;437.0;402.0;444.0;529.0;597.0;569.0;636.0;601.0;717.0;561.0
VIVO;Quantidade de Sol. Resolvidas em até 5 dias;7538.0;8468.0;11830.0;12235.0;10859.0;11990.0;13888.0;12758.0;15079.0;17424.0;15381.0;14252.0
ALGAR;Quantidade de Sol. Resolvidas no Período;481.0;453.0;490.0;684.0;826.0;834.0;712.0;605.0;582.0;650.0;692.0;705.0
EMBRATEL;Quantidade de Sol. Resolvidas no Período;19570.0;17275.0;19198.0;25087.0;14099.0;33850.0;38190.0;42030.0;41550.0;39901.0;37710.0;36050.0
GVT;Quantidade de Sol. Resolvidas no Período;15689.0;13392.0;12328.0;16435.0;18906.0;20630.0;18778.0;18050.0;17069.0;16371.0;15900.0;15905.0
OI;Quantidade de Sol. Resolvidas no Período;119704.0;101370.0;98689.0;133763.0;160900.0;180832.0;172800.0;176588.0;169680.0;165370.0;150653.0;142983.0
