GRUPO ECONÔMICO;VARIÁVEL;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12
ALGAR;Indicador de Desempenho no Atendimento (IDA);100.0;100.0;100.0;100.0;92.973;100.0;100.0;100.0;100.0;100.0;100.0;100.0
CLARO;Indicador de Desempenho no Atendimento (IDA);83.28;86.025;81.562;88.848;82.8;85.193;85.629;83.924;87.842;87.962;89.141;91.161
NEXTEL;Indicador de Desempenho no Atendimento (IDA);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.537;13.205
OI;Indicador de Desempenho no Atendimento (IDA);75.072;78.176;78.466;84.165;75.784;85.653;84.327;85.718;88.771;87.778;89.111;90.671
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);93.333;91.071;41.667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
TIM;Indicador de Desempenho no Atendimento (IDA);69.936;77.555;70.607;75.49;67.941;74.082;67.484;68.976;70.496;68.99;66.334;70.743
VIVO;Indicador de Desempenho no Atendimento (IDA);79.626;87.22;83.852;87.658;84.32;88.357;88.153;87.752;91.36;90.473;91.56;93.406
ALGAR;Índice de Reclamações;0.132;0.097;0.124;0.103;0.126;0.143;0.128;0.147;0.124;0.131;0.136;0.124
CLARO;Índice de Reclamações;0.534;0.48;0.569;0.423;0.544;0.496;0.487;0.522;0.443;0.441;0.417;0.377
NEXTEL;Índice de Reclamações;3.167;2.499;3.01;2.528;3.231;2.9;2.773;3.219;2.85;2.587;2.056;1.654
OI;Índice de Reclamações;0.482;0.401;0.496;0.379;0.451;0.381;0.4;0.486;0.425;0.444;0.418;0.387
SERCOMTEL;Índice de Reclamações;0.069;0.098;0.07;0.154;0.586;0.967;0.338;0.696;0.272;0.419;0.742;0.279
TIM;Índice de Reclamações;0.801;0.649;0.788;0.69;0.841;0.718;0.749;0.82;0.79;0.82;0.873;0.785
VIVO;Índice de Reclamações;0.607;0.456;0.523;0.447;0.514;0.433;0.437;0.445;0.373;0.391;0.369;0.332
ALGAR;Quantidade de acessos em serviço;1335830.0;1344684.0;1341166.0;1339754.0;1339222.0;1336933.0;1336005.0;1328201.0;1325908.0;1317491.0;1311719.0;1312925.0
CLARO;Quantidade de acessos em serviço;60169181.0;60216418.0;60236706.0;60207677.0;60229908.0;60272211.0;60339722.0;60457940.0;60398003.0;60501743.0;60538448.0;59022019.0
NEXTEL;Quantidade de acessos em serviço;3468324.0;3459531.0;3354314.0;3359911.0;3287312.0;3241386.0;3207143.0;3204051.0;3006887.0;2976977.0;2992780.0;3080066.0
OI;Quantidade de acessos em serviço;41956070.0;42027840.0;42077986.0;42081963.0;42017065.0;42031482.0;41940711.0;42025585.0;41911167.0;41911167.0;40473757.0;38942433.0
SERCOMTEL;Quantidade de acessos em serviço;72025.0;71708.0;71766.0;71629.0;71656.0;71391.0;70994.0;70419.0;69814.0;69280.0;68716.0;68217.0
TIM;Quantidade de acessos em serviço;62821808.0;62132232.0;61867606.0;61348533.0;61348533.0;60831205.0;60504829.0;60353453.0;59390157.0;59390157.0;58507846.0;58634435.0
VIVO;Quantidade de acessos em serviço;73896211.0;73912571.0;73996842.0;74074202.0;74209121.0;74335209.0;74516008.0;74571024.0;74561948.0;74648744.0;74735923.0;74939872.0
ALGAR;Quantidade de reabertas;13.0;9.0;13.0;6.0;19.0;9.0;9.0;12.0;10.0;11.0;8.0;8.0
CLARO;Quantidade de reabertas;2338.0;2147.0;2614.0;1705.0;2406.0;2003.0;2060.0;2254.0;1775.0;2027.0;1837.0;1635.0
NEXTEL;Quantidade de reabertas;1608.0;1314.0;1586.0;1335.0;1568.0;1441.0;1344.0;1501.0;1010.0;803.0;623.0;413.0
OI;Quantidade de reabertas;1812.0;1709.0;2240.0;1757.0;1999.0;1349.0;1522.0;1450.0;1041.0;1101.0;1034.0;900.0
SERCOMTEL;Quantidade de reabertas;0.0;1.0;2.0;9.0;11.0;65.0;13.0;13.0;6.0;24.0;8.0;1.0
TIM;Quantidade de reabertas;3874.0;2999.0;3742.0;3011.0;3800.0;3185.0;3658.0;3332.0;3456.0;3564.0;3700.0;3576.0
VIVO;Quantidade de reabertas;3526.0;2360.0;2895.0;2126.0;2652.0;2340.0;2429.0;2266.0;1907.0;2108.0;2098.0;1543.0
ALGAR;Quantidade de reclamações;176.0;130.0;166.0;138.0;169.0;191.0;171.0;195.0;165.0;173.0;179.0;163.0
CLARO;Quantidade de reclamações;32154.0;28874.0;34260.0;25470.0;32765.0;29904.0;29411.0;31530.0;26766.0;26667.0;25255.0;22238.0
NEXTEL;Quantidade de reclamações;10985.0;8644.0;10096.0;8494.0;10621.0;9400.0;8893.0;10314.0;8570.0;7702.0;6152.0;5094.0
OI;Quantidade de reclamações;20218.0;16846.0;20868.0;15938.0;18951.0;16032.0;16762.0;20409.0;17795.0;18627.0;16909.0;15054.0
SERCOMTEL;Quantidade de reclamações;5.0;7.0;5.0;11.0;42.0;69.0;24.0;49.0;19.0;29.0;51.0;19.0
TIM;Quantidade de reclamações;50338.0;40318.0;48743.0;42343.0;51605.0;43699.0;45345.0;49519.0;46923.0;48712.0;51096.0;46036.0
VIVO;Quantidade de reclamações;44890.0;33675.0;38698.0;33100.0;38114.0;32176.0;32559.0;33181.0;27797.0;29153.0;27562.0;24871.0
ALGAR;Quantidade de Reclamações no Período;632.0;618.0;542.0;472.0;434.0;473.0;498.0;531.0;557.0;530.0;532.0;516.0
CLARO;Quantidade de Reclamações no Período;87924.0;90962.0;90025.0;95285.0;88600.0;92493.0;88141.0;92083.0;90848.0;87704.0;84961.0;78686.0
NEXTEL;Quantidade de Reclamações no Período;28584.0;29942.0;29108.0;29722.0;27230.0;29202.0;28509.0;28910.0;28605.0;27776.0;26585.0;22425.0
OI;Quantidade de Reclamações no Período;58010.0;58705.0;56082.0;57936.0;53655.0;55763.0;50922.0;51745.0;53204.0;54967.0;56834.0;53334.0
SERCOMTEL;Quantidade de Reclamações no Período;16.0;17.0;19.0;17.0;23.0;58.0;122.0;135.0;133.0;83.0;88.0;99.0
TIM;Quantidade de Reclamações no Período;153244.0;152871.0;138232.0;139397.0;131401.0;142687.0;137651.0;140654.0;138576.0;141798.0;145165.0;146735.0
VIVO;Quantidade de Reclamações no Período;120498.0;126681.0;119433.0;117271.0;105478.0;109917.0;103385.0;102849.0;97915.0;93543.0;90133.0;84512.0
ALGAR;Quantidade de Respondidas;176.0;130.0;166.0;138.0;169.0;191.0;171.0;195.0;150.0;173.0;179.0;163.0
CLARO;Quantidade de Respondidas;31985.0;28856.0;34243.0;25429.0;32744.0;29855.0;29371.0;31510.0;26720.0;26616.0;24993.0;21777.0
NEXTEL;Quantidade de Respondidas;9521.0;5653.0;8084.0;7214.0;9062.0;8872.0;8100.0;9433.0;7928.0;7300.0;5827.0;4657.0
OI;Quantidade de Respondidas;20189.0;16777.0;20780.0;15919.0;18939.0;15982.0;16718.0;20366.0;17790.0;18609.0;16887.0;14696.0
SERCOMTEL;Quantidade de Respondidas;5.0;7.0;5.0;5.0;4.0;6.0;11.0;5.0;5.0;4.0;1.0;4.0
TIM;Quantidade de Respondidas;50328.0;40204.0;48737.0;42308.0;51599.0;43695.0;45332.0;49510.0;46507.0;48283.0;50624.0;45811.0
VIVO;Quantidade de Respondidas;44848.0;33669.0;38692.0;33089.0;38112.0;31632.0;32553.0;33177.0;27791.0;29131.0;27549.0;24857.0
ALGAR;Quantidade de Sol. Respondidas em até 5 dias;160.0;116.0;147.0;126.0;148.0;176.0;161.0;180.0;143.0;152.0;156.0;140.0
