GRUPO ECONÔMICO;VARIÁVEL;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12
CLARO;Quantidade de Sol. Respondidas em até 5 dias;27857.0;24791.0;29448.0;22073.0;28320.0;26002.0;25396.0;27162.0;23226.0;22843.0;21741.0;19035.0
NEXTEL;Quantidade de Sol. Respondidas em até 5 dias;8028.0;4987.0;6702.0;6524.0;7998.0;7344.0;6727.0;8552.0;7491.0;6699.0;5341.0;4229.0
OI;Quantidade de Sol. Respondidas em até 5 dias;17049.0;14109.0;17797.0;13659.0;16070.0;13935.0;14422.0;17506.0;15615.0;16191.0;14792.0;13153.0
SERCOMTEL;Quantidade de Sol. Respondidas em até 5 dias;4.0;6.0;0.0;2.0;3.0;3.0;7.0;2.0;4.0;4.0;0.0;3.0
TIM;Quantidade de Sol. Respondidas em até 5 dias;43191.0;34359.0;41614.0;36299.0;44039.0;37496.0;38809.0;42255.0;40089.0;41585.0;43574.0;39297.0
VIVO;Quantidade de Sol. Respondidas em até 5 dias;38170.0;29121.0;33260.0;29083.0;33053.0;27450.0;27856.0;28287.0;24193.0;25100.0;23580.0;21618.0
ALGAR;Quantidade de Sol. Respondidas no Período;632.0;618.0;542.0;472.0;434.0;473.0;498.0;531.0;556.0;530.0;532.0;516.0
CLARO;Quantidade de Sol. Respondidas no Período;87774.0;90878.0;90004.0;95265.0;88588.0;92489.0;88108.0;92001.0;90824.0;87667.0;84928.0;78644.0
NEXTEL;Quantidade de Sol. Respondidas no Período;28343.0;28905.0;27429.0;27667.0;26086.0;28327.0;27918.0;28165.0;27613.0;27460.0;26424.0;22100.0
OI;Quantidade de Sol. Respondidas no Período;57889.0;58438.0;55891.0;57793.0;53449.0;55565.0;50850.0;51647.0;53047.0;54926.0;56735.0;53232.0
SERCOMTEL;Quantidade de Sol. Respondidas no Período;16.0;17.0;19.0;17.0;17.0;17.0;104.0;25.0;29.0;27.0;21.0;12.0
TIM;Quantidade de Sol. Respondidas no Período;153233.0;152869.0;138229.0;139346.0;131393.0;142684.0;137630.0;140652.0;138551.0;141798.0;145163.0;146673.0
VIVO;Quantidade de Sol. Respondidas no Período;120360.0;126656.0;119428.0;117266.0;105438.0;109902.0;103367.0;102328.0;97847.0;93368.0;89876.0;84256.0
ALGAR;Taxa de Reabertas;7.386;6.923;7.831;4.348;11.243;4.712;5.263;6.154;6.667;6.358;4.469;4.908
CLARO;Taxa de Reabertas;7.31;7.44;7.634;6.705;7.348;6.709;7.014;7.153;6.643;7.616;7.35;7.508
NEXTEL;Taxa de Reabertas;16.889;23.244;19.619;18.506;17.303;16.242;16.593;15.912;12.74;11.0;10.692;8.868
OI;Taxa de Reabertas;8.975;10.187;10.78;11.037;10.555;8.441;9.104;7.12;5.852;5.916;6.123;6.124
SERCOMTEL;Taxa de Reabertas;0.0;14.286;40.0;180.0;275.0;1083.333;118.182;260.0;120.0;600.0;800.0;25.0
TIM;Taxa de Reabertas;7.698;7.459;7.678;7.117;7.364;7.289;8.069;6.73;7.431;7.381;7.309;7.806
VIVO;Taxa de Reabertas;7.862;7.009;7.482;6.425;6.958;7.398;7.462;6.83;6.862;7.236;7.616;6.208
ALGAR;Taxa de Respondidas em 5 dias Úteis;90.909;89.231;88.554;91.304;87.574;92.147;94.152;92.308;86.667;87.861;87.151;85.89
CLARO;Taxa de Respondidas em 5 dias Úteis;86.636;85.859;85.954;86.663;86.434;86.952;86.349;86.147;86.774;85.66;86.086;85.597
NEXTEL;Taxa de Respondidas em 5 dias Úteis;73.081;57.693;66.383;76.807;75.304;78.128;75.644;82.916;87.41;86.977;86.817;83.019
OI;Taxa de Respondidas em 5 dias Úteis;84.326;83.753;85.284;85.701;84.798;86.92;86.04;85.776;87.749;86.922;87.48;87.372
SERCOMTEL;Taxa de Respondidas em 5 dias Úteis;80.0;85.714;0.0;18.182;7.143;4.348;29.167;4.082;21.053;13.793;0.0;15.789
TIM;Taxa de Respondidas em 5 dias Úteis;85.802;85.22;85.374;85.726;85.339;85.805;85.586;85.331;85.436;85.369;85.279;85.361
VIVO;Taxa de Respondidas em 5 dias Úteis;85.03;86.477;85.948;87.864;86.721;85.312;85.555;85.251;87.035;86.097;85.553;86.921
ALGAR;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.82;100.0;100.0;100.0
CLARO;Taxa de Respondidas no Período;99.829;99.908;99.977;99.979;99.986;99.996;99.963;99.911;99.974;99.958;99.961;99.947
NEXTEL;Taxa de Respondidas no Período;99.157;96.537;94.232;93.086;95.799;97.004;97.927;97.423;96.532;98.862;99.394;98.551
OI;Taxa de Respondidas no Período;99.791;99.545;99.659;99.753;99.616;99.645;99.859;99.811;99.705;99.925;99.826;99.809
SERCOMTEL;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;73.913;29.31;85.246;18.519;21.805;32.53;23.864;12.121
TIM;Taxa de Respondidas no Período;99.993;99.999;99.998;99.963;99.994;99.998;99.985;99.999;99.982;100.0;99.999;99.958
VIVO;Taxa de Respondidas no Período;99.885;99.98;99.996;99.996;99.962;99.986;99.983;99.493;99.931;99.813;99.715;99.697
