GRUPO ECONÔMICO;VARIÁVEL;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12
ALGAR;Indicador de Desempenho no Atendimento (IDA);94.47477562;93.0522057039886;92.4054385912372;96.6606294057124;98.0865898419382;94.679;95.6718703123222;88.5041926752434;92.209;96.39;93.2908069981554;85.2122727008815
GVT (*);Indicador de Desempenho no Atendimento (IDA);76.47905706;73.9026608939646;69.9240615081053;;;;;;;;;
NET;Indicador de Desempenho no Atendimento (IDA);78.63141126;79.1847112218253;77.2165043611841;92.3065800069035;92.1736913126718;91.797;91.6797323025554;91.4722358416265;93.038;92.285;85.7127165746175;86.502207039995
OI;Indicador de Desempenho no Atendimento (IDA);0.0;0.0;0.0;0.0;0.0;9.601;19.5894287337542;10.6104030877027;28.725;26.837;24.6170957799802;15.1865026955157
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);80.37757437;87.8787878787879;92.6470588235294;100.0;71.4727195225916;60.285;86.1268939393939;76.5856950067476;100.0;83.814;82.5029137529137;92.8571428571429
SKY;Indicador de Desempenho no Atendimento (IDA);17.02727929;29.9472762374145;29.6073303979702;49.7294522076878;53.4851859395817;30.697;19.0776486604755;24.272171553725;40.96;36.398;35.8598807974681;44.24
TIM;Indicador de Desempenho no Atendimento (IDA);0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
VIACABO (**);Indicador de Desempenho no Atendimento (IDA);71.17506738;68.2842272272457;81.2993677937852;83.0690627202255;94.9852463725226;87.694;78.3595553729115;;;;;
VIVO;Indicador de Desempenho no Atendimento (IDA);34.28784574;37.0009300913546;35.507213978885;56.6546119166319;57.1848710008295;60.163;58.9866711733806;55.8313698228008;53.347;61.445;64.3766678860491;66.0474873016788
ALGAR;Índice de Reclamações;0.621008975;0.677911771840455;0.703782456350514;0.533574823771502;0.476536406322473;0.613;0.573125187507112;0.646224698053555;0.496;0.544;0.668367720073785;0.776665341964741
GVT (*);Índice de Reclamações;1.340837718;1.44389356424142;1.60303753967579;;;;;;;;;
NET;Índice de Reclamações;0.833732321;0.772711137434717;0.856885800115439;0.70773679972386;0.713052347493127;0.728;0.732810707897785;0.74111056633494;0.678;0.709;0.745611387298142;0.738638846482937
OI;Índice de Reclamações;4.281942494;4.50553796226841;5.41829007654223;4.28545103590595;3.91750635653075;3.537;3.15000461650729;3.50073957305172;2.996;3.06;3.15246483285671;3.3305061923432
SERCOMTEL;Índice de Reclamações;0.288305453;0.342719698905166;0.33313638477881;0.224251560417108;0.28388928317956;0.371;0.200092163663263;0.2346626874293;0.311;0.155;0.155092399279417;0.166808652603109
