GRUPO ECONÔMICO;VARIÁVEL;2014-01-01 00:00:00;2014-02-01 00:00:00;2014-03-01 00:00:00;2014-04-01 00:00:00;2014-05-01 00:00:00;2014-06-01 00:00:00;2014-07-01 00:00:00;2014-08-01 00:00:00;2014-09-01 00:00:00;2014-10-01 00:00:00;2014-11-01 00:00:00;2014-12-01 00:00:00
CTBC Celular;Quantidade de acessos em serviço;1024699.0;1042124.0;1058194.0;1073665.0;1089337.0;1100647.0;1107270.0;1121038;1137815.0;1159408.0;1176641.0;1205384.0
Oi Celular;Quantidade de acessos em serviço;50435852.0;50367609.0;50579492.0;50671007.0;50854595.0;51081121.0;51095462.0;51267380;51415666.0;51286566.0;51527644.0;50917933.0
Sercomtel Celular;Quantidade de acessos em serviço;59176.0;56731.0;53992.0;51428.0;51349.0;52585.0;52073.0;51827;51682.0;51660.0;53225.0;56413.0
TIM GSM;Quantidade de acessos em serviço;73542521.0;73641359.0;73916805.0;73871048.0;74467845.0;74202921.0;74371788.0;74676100;74837333.0;75139067.0;75250704.0;75720577.0
Vivo;Quantidade de acessos em serviço;77745609.0;78046756.0;78465149.0;78550308.0;79188079.0;79357354.0;79405524.0;79580202;79659200.0;79724532.0;80250744.0;79937773.0
Claro;Índice de Reclamações;0.309;0.278;0.217;0.245;0.346;0.319;0.392;0.365;0.365;0.344;0.292;0.213
CTBC Celular;Índice de Reclamações;0.212;0.164;0.096;0.189;0.196;0.172;0.246;0.229;0.181;0.107;0.12;0.075
OI Celular;Índice de Reclamações;0.469;0.395;0.294;0.313;0.47;0.445;0.496;0.438;0.448;0.372;0.365;0.287
Sercomtel Celular;Índice de Reclamações;0.068;0.071;0.074;0.019;0.097;0.038;0.038;0;0.097;0.136;0.019;0.018
TIM GSM;Índice de Reclamações;0.357;0.311;0.262;0.295;0.402;0.409;0.444;0.418;0.438;0.426;0.39;0.302
Vivo;Índice de Reclamações;0.321;0.265;0.222;0.228;0.331;0.304;0.358;0.375;0.372;0.328;0.346;0.28
Claro;Quantidade de resolvidas;20932.0;19082.0;14466.0;15829.0;23179.0;21703.0;27000.0;25124;25034.0;22807.0;20432.0;14863.0
CTBC Celular;Quantidade de resolvidas;217.0;171.0;102.0;203.0;214.0;189.0;272.0;256;206.0;124.0;141.0;90.0
OI Celular;Quantidade de resolvidas;23624.0;19380.0;14584.0;14487.0;23686.0;22557.0;23638.0;22034;22798.0;18868.0;18484.0;14470.0
Sercomtel Celular;Quantidade de resolvidas;3.0;4.0;4.0;1.0;5.0;2.0;2.0;0;5.0;6.0;1.0;1.0
TIM GSM;Quantidade de resolvidas;26126.0;22733.0;19255.0;21323.0;29903.0;30065.0;32805.0;30968;32280.0;31035.0;29054.0;22690.0
Vivo;Quantidade de resolvidas;24907.0;20597.0;17260.0;17640.0;25817.0;23983.0;28104.0;29704;29563.0;25994.0;27498.0;22260.0
Claro;Quantidade de reabertas;1761.0;1656.0;1444.0;1608.0;1868.0;1651.0;2159.0;2306;2924.0;2484.0;1715.0;1134.0
CTBC Celular;Quantidade de reabertas;16.0;19.0;16.0;8.0;19.0;11.0;30.0;29;22.0;25.0;20.0;17.0
OI Celular;Quantidade de reabertas;2395.0;2417.0;1430.0;1659.0;2523.0;1797.0;1871.0;1988;1939.0;1512.0;1418.0;1036.0
Sercomtel Celular;Quantidade de reabertas;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0;0.0;0.0;1.0;1.0
TIM GSM;Quantidade de reabertas;1907.0;1644.0;1474.0;1680.0;2534.0;1656.0;2311.0;2314;2371.0;1889.0;1843.0;1342.0
Vivo;Quantidade de reabertas;1183.0;1051.0;879.0;1135.0;1509.0;1303.0;1530.0;2221;2041.0;1714.0;1788.0;1154.0
Claro;Taxa de Reabertas;8.413;5.424;9.982;10.188;8.059;7.607;7.996;9.178;11.68;10.891;8.394;7.63
CTBC Celular;Taxa de Reabertas;7.373;6.944;15.686;3.96;8.879;5.82;11.029;11.328;10.68;20.161;14.184;18.889
OI Celular;Taxa de Reabertas;10.138;7.795;9.805;11.456;10.652;7.966;7.915;9.022;8.505;8.014;7.671;7.16
Sercomtel Celular;Taxa de Reabertas;0.0;0.0;25.0;0.0;0.0;0.0;0.0;-;0.0;0.0;100.0;100.0
TIM GSM;Taxa de Reabertas;7.299;4.52;7.655;7.875;8.474;5.508;7.045;7.472;7.345;6.087;6.343;5.914
Vivo;Taxa de Reabertas;4.75;3.189;5.093;6.433;5.845;5.433;5.444;7.477;6.904;6.594;6.502;5.184
Claro;Quantidade de Sol. Resolvidas em até 5 dias;18468.0;19181.0;14906.0;14363.0;20481.0;19055.0;23578.0;21750;21051.0;18942.0;15757.0;13383.0
CTBC Celular;Quantidade de Sol. Resolvidas em até 5 dias;194.0;171.0;102.0;114.0;185.0;169.0;227.0;210;171.0;98.0;116.0;67.0
OI Celular;Quantidade de Sol. Resolvidas em até 5 dias;20089.0;19904.0;14878.0;12893.0;20740.0;18719.0;19190.0;18383;19407.0;15980.0;16042.0;12629.0
Sercomtel Celular;Quantidade de Sol. Resolvidas em até 5 dias;3.0;4.0;4.0;1.0;5.0;2.0;2.0;0;5.0;6.0;0.0;1.0
TIM GSM;Quantidade de Sol. Resolvidas em até 5 dias;22598.0;22903.0;19365.0;18496.0;26121.0;26239.0;28595.0;26890;28286.0;27693.0;25310.0;19813.0
Vivo;Quantidade de Sol. Resolvidas em até 5 dias;21916.0;20664.0;17410.0;15563.0;22808.0;21333.0;25036.0;25675;25707.0;22827.0;24246.0;19774.0
Claro;Taxa de Resolvidas em 5 dias Úteis;86.538;85.475;84.657;85.411;86.102;86.973;87.168;86.135;82.986;78.781;76.576;88.29
CTBC Celular;Taxa de Resolvidas em 5 dias Úteis;89.401;77.778;84.314;55.665;86.449;89.418;83.456;81.712;83.01;79.032;82.27;74.444
OI Celular;Taxa de Resolvidas em 5 dias Úteis;85.015;83.33;83.432;81.165;86.738;82.336;75.661;81.87;84.29;83.7;85.253;86.411
Sercomtel Celular;Taxa de Resolvidas em 5 dias Úteis;75.0;100.0;75.0;100.0;100.0;100.0;100.0;-;100.0;85.714;0.0;100.0
TIM GSM;Taxa de Resolvidas em 5 dias Úteis;86.025;86.299;85.887;84.985;87.262;86.361;86.589;86.117;86.24;86.538;86.314;86.523
Vivo;Taxa de Resolvidas em 5 dias Úteis;87.752;86.769;86.835;86.911;86.98;88.354;87.994;85.976;86.748;87.313;87.367;88.482
TIM GSM;Quantidade de Reclamações no Período;84311.0;81648.0;78038.0;68585.0;64060.0;71340.0;82357.0;93476;94764.0;97094.0;96056.0;94135.0
Claro;Quantidade de Reclamações no Período;74721.0;68336.0;64179.0;55432.0;50884.0;55599.0;62547.0;72769;74231.0;77657.0;74641.0;69976.0
CTBC Celular;Quantidade de Reclamações no Período;938.0;817.0;665.0;490.0;476.0;521.0;608.0;676;719.0;735.0;586.0;470.0
OI Celular;Quantidade de Reclamações no Período;13.0;12.0;68755.0;58434.0;50682.0;54791.0;62582.0;71974;70515.0;70828.0;64576.0;60946.0
Sercomtel Celular;Quantidade de Reclamações no Período;80509.0;77409.0;10.0;12.0;9.0;10.0;8.0;9;4.0;7.0;11.0;12.0
Vivo;Quantidade de Reclamações no Período;3625.0;76536.0;70728.0;63098.0;56025.0;61663.0;68333.0;78831;82488.0;87982.0;85654.0;83546.0
TIM GSM;Quantidade de Sol. Resolvidas no Período;83876.0;81204.0;77719.0;68186.0;63816.0;70708.0;81839.0;92987;94443.0;96490.0;95644.0;93843.0
Claro;Quantidade de Sol. Resolvidas no Período;74316.0;67937.0;63745.0;55005.0;50382.0;55173.0;62347.0;72622;74136.0;77111.0;74503.0;69971.0
CTBC Celular;Quantidade de Sol. Resolvidas no Período;938.0;817.0;665.0;490.0;476.0;519.0;608.0;676;719.0;735.0;586.0;470.0
OI Celular;Quantidade de Sol. Resolvidas no Período;13.0;12.0;68430.0;58102.0;50383.0;54365.0;62320.0;71597;70177.0;70519.0;64295.0;60830.0
Sercomtel Celular;Quantidade de Sol. Resolvidas no Período;80252.0;77279.0;10.0;12.0;9.0;10.0;8.0;9;4.0;7.0;11.0;12.0
Vivo;Quantidade de Sol. Resolvidas no Período;3621.0;76138.0;70451.0;62912.0;55658.0;61079.0;68073.0;78536;82346.0;87788.0;85466.0;83378.0
TIM GSM;Taxa de Resolvidas no Período;99.484;99.832;99.591;99.383;99.619;99.114;99.371;99.477;99.661;99.378;99.571;99.69
Claro;Taxa de Resolvidas no Período;99.458;99.456;99.324;99.071;99.013;99.234;99.68;99.798;99.872;99.297;99.815;99.993
CTBC Celular;Taxa de Resolvidas no Período;100.0;99.416;100.0;100.0;100.0;99.616;100.0;100;100.0;100.0;100.0;100.0
OI Celular;Taxa de Resolvidas no Período;99.89;100.0;99.527;99.425;99.41;99.223;99.581;99.476;99.521;99.564;99.565;100.0
Sercomtel Celular;Taxa de Resolvidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100;100.0;100.0;100.0;99.799
Vivo;Taxa de Resolvidas no Período;99.681;99.48;99.608;99.681;99.345;99.053;99.62;99.626;99.828;99.78;99.781;99.81
