GRUPO ECONÔMICO;VARIÁVEL;2014-01-01 00:00:00;2014-02-01 00:00:00;2014-03-01 00:00:00;2014-04-01 00:00:00;2014-05-01 00:00:00;2014-06-01 00:00:00;2014-07-01 00:00:00;2014-08-01 00:00:00;2014-09-01 00:00:00;2014-10-01 00:00:00;2014-11-01 00:00:00;2014-12-01 00:00:00
Claro;Indicador de Desempenho no Atendimento (IDA);89.292;90.676;87.797;91.383;87.663;94.05;90.4;86.013;78.779;78.92;82.357;99.341
CTBC Celular;Indicador de Desempenho no Atendimento (IDA);99.4;85.648;84.967;85.222;94.451;100.0;85.292;85.374;87.662;80.41;85.225;79.676
OI Celular;Indicador de Desempenho no Atendimento (IDA);80.214;76.899;83.649;80.912;79.843;81.862;77.087;76.418;77.048;80.958;91.741;95.648
Sercomtel Celular;Indicador de Desempenho no Atendimento (IDA);91.667;100.0;76.042;100.0;100.0;100.0;100.0;100;100.0;100.0;4.167;37.5
TIM GSM;Indicador de Desempenho no Atendimento (IDA);92.15;94.45;96.9;90.245;84.604;89.55;87.8;89.1;88.1;88.7;90.516;94.879
Vivo;Indicador de Desempenho no Atendimento (IDA);93.95;96.75;98.9;98.6;93.45;94.8;92.1;91.25;91.4;93.6;92.709;96.022
Claro;Quantidade de reclamações;21341.0;19181.0;14906.0;16780.0;23787.0;21909.0;27049.0;25251;25367.0;24044.0;20577.0;15158.0
CTBC Celular;Quantidade de reclamações;217.0;171.0;102.0;203.0;214.0;189.0;272.0;257;206.0;124.0;141.0;90.0
Oi Celular;Quantidade de reclamações;23630.0;19904.0;14878.0;15880.0;23911.0;22735.0;25363.0;22454;23024.0;19092.0;18817.0;14615.0
Sercomtel Celular;Quantidade de reclamações;4.0;4.0;4.0;1.0;5.0;2.0;2.0;0;5.0;7.0;1.0;1.0
TIM GSM;Quantidade de reclamações;26269.0;22903.0;19365.0;21758.0;29934.0;30383.0;33024.0;31225;32799.0;32001.0;29323.0;22899.0
Vivo;Quantidade de reclamações;24975.0;20664.0;17410.0;17908.0;26222.0;24145.0;28452.0;29863;29634.0;26144.0;27752.0;22348.0
Claro;Quantidade de acessos em serviço;69033217.0;68941694.0;68748907.0;68490921.0;68755380.0;68775877.0;68932133.0;69271762;69559504.0;69845165.0;70521507.0;71106993.0
