GRUPO ECONÔMICO;VARIÁVEL;2019-01;2019-02;2019-03;2019-04
OI;Taxa de Reabertas;8.934920389550163;8.44582900657667;8.810156987217981;8.712519195021418
SERCOMTEL;Taxa de Reabertas;10.909090909090908;13.559322033898304;11.538461538461538;11.904761904761903
SKY;Taxa de Reabertas;3.1409168081494054;3.8387715930902107;4.267701260911736;2.6371308016877637
TIM;Taxa de Reabertas;15.886358799744627;17.153855407193554;18.69238810225221;12.46492048643592
VIVO;Taxa de Reabertas;5.864175855046001;6.0200394218134035;5.717712914834067;5.603900975243811
ALGAR;Taxa de Respondidas em 5 dias Úteis;83.19405756731662;87.06766917293233;84.83353884093712;85.46511627906976
NET;Taxa de Respondidas em 5 dias Úteis;85.52254685326132;85.72871937357918;85.70563294972744;85.81209585393685
OI;Taxa de Respondidas em 5 dias Úteis;85.13872491145219;85.8207081275634;85.984264741666;85.82541054451167
SERCOMTEL;Taxa de Respondidas em 5 dias Úteis;71.9298245614035;60.60606060606061;40.35087719298245;82.22222222222221
SKY;Taxa de Respondidas em 5 dias Úteis;87.77589134125637;86.9481765834933;86.12997090203686;87.65822784810126
TIM;Taxa de Respondidas em 5 dias Úteis;83.06074766355141;80.63288127527957;80.71591340676035;79.71471998129311
VIVO;Taxa de Respondidas em 5 dias Úteis;85.47380234270885;85.8515355559205;86.28987129266928;86.35579878551616
ALGAR;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0
NET;Taxa de Respondidas no Período;99.786;99.785;99.813;99.913
OI;Taxa de Respondidas no Período;99.929;99.924;99.964;99.963
SERCOMTEL;Taxa de Respondidas no Período;100.0;100.0;98.089;98.889
SKY;Taxa de Respondidas no Período;99.93;99.934;99.968;99.969
TIM;Taxa de Respondidas no Período;97.041;95.465;99.666;100.0
VIVO;Taxa de Respondidas no Período;99.585;99.582;99.62;99.594
