GRUPO ECONÔMICO;VARIÁVEL;2019-01;2019-02;2019-03;2019-04
OI;Taxa de Respondidas em 5 dias Úteis;85.14789394836777;86.0205500618047;85.52626409460574;85.50046772684752
SERCOMTEL;Taxa de Respondidas em 5 dias Úteis;74.66666666666667;69.0909090909091;46.51162790697674;80.0
TIM;Taxa de Respondidas em 5 dias Úteis;74.8500599760096;74.48015122873346;72.4540152534769;75.43624161073825
VIVO;Taxa de Respondidas em 5 dias Úteis;85.9574084912881;85.71505608283002;86.2794245858762;85.79539535368268
ALGAR;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0
EMBRATEL;Taxa de Respondidas no Período;97.906;99.685;98.978;99.991
OI;Taxa de Respondidas no Período;99.924;99.862;99.931;99.954
SERCOMTEL;Taxa de Respondidas no Período;99.237;98.592;97.945;100.0
TIM;Taxa de Respondidas no Período;99.875;99.881;99.817;99.985
VIVO;Taxa de Respondidas no Período;99.628;99.719;99.639;99.542
