GRUPO ECONÔMICO;VARIÁVEL;2014-01-01 00:00:00;2014-02-01 00:00:00;2014-03-01 00:00:00;2014-04-01 00:00:00;2014-05-01 00:00:00;2014-06-01 00:00:00;2014-07-01 00:00:00;2014-08-01 00:00:00;2014-09-01 00:00:00;2014-10-01 00:00:00;2014-11-01 00:00:00;2014-12-01 00:00:00
CTBC Telecom;Indicador de Desempenho no Atendimento (IDA);93.243;100.0;100.0;94.937;94.748;100.0;94.421;86.846;100.0;85.548;85.206;82.391
Embratel;Indicador de Desempenho no Atendimento (IDA);72.67;72.548;81.168;79.219;72.908;75.812;72.336;81.851;81.574;86.154;87.365;100.0
GVT;Indicador de Desempenho no Atendimento (IDA);75.806;69.882;72.537;74.421;74.444;78.361;60.992;74.167;70.167;67.11;69.829;78.499
OI;Indicador de Desempenho no Atendimento (IDA);31.517;33.292;56.81;45.474;12.863;9.942;0.0;0.0;0.0;15.211;23.608;50.457
Sercomtel;Indicador de Desempenho no Atendimento (IDA);100.0;85.521;100.0;100.0;100.0;100.0;93.644;88.176;92.733;94.318;61.862;53.632
Telefônica;Indicador de Desempenho no Atendimento (IDA);65.333;62.783;73.0;72.6;66.334;62.577;52.179;52.535;48.081;62.031;66.171;80.973
TIM/Intelig;Indicador de Desempenho no Atendimento (IDA);88.778;83.102;88.899;85.373;86.491;89.0;76.694;76.139;79.583;87.139;84.403;89.737
CTBC Telecom;Quantidade de reclamações;222.0;248.0;147.0;158.0;238.0;220.0;335.0;306.0;264.0;175.0;178.0;115.0
Embratel;Quantidade de reclamações;8900.0;8954.0;6325.0;5981.0;10177.0;8968.0;10360.0;9212.0;8845.0;7547.0;6843.0;4120.0
GVT;Quantidade de reclamações;5133.0;4958.0;4287.0;3813.0;5556.0;4983.0;6817.0;5732.0;6411.0;6121.0;5688.0;3598.0
Oi;Quantidade de reclamações;41734.0;39457.0;24658.0;29783.0;49924.0;48800.0;62645.0;52907.0;54518.0;46525.0;42892.0;27983.0
Sercomtel;Quantidade de reclamações;38.0;40.0;19.0;33.0;39.0;39.0;59.0;37.0;44.0;44.0;39.0;39.0
Telefônica;Quantidade de reclamações;16431.0;15329.0;10791.0;10489.0;14659.0;15464.0;17719.0;16975.0;18407.0;15192.0;13355.0;8246.0
TIM/Intelig;Quantidade de reclamações;509.0;518.0;351.0;395.0;505.0;505.0;603.0;611.0;549.0;415.0;375.0;293.0
CTBC Telecom;Quantidade de acessos em serviço;885145.0;886457.0;897598.0;899769.0;902862.0;887501.0;903673.0;906394.0;852626.0;856020.0;913520.0;915452.0
Embratel;Quantidade de acessos em serviço;10790530.0;10903165.0;11014896.0;11075257.0;11147169.0;11188716.0;11252896.0;11334463.0;11402769.0;11480289.0;11580036.0;11633552.0
GVT;Quantidade de acessos em serviço;4170238.0;4208889.0;4253384.0;4299885.0;4340946.0;4374020.0;4401400.0;4441830.0;4472172.0;4509508.0;4540590.0;4561056.0
Oi;Quantidade de acessos em serviço;17381647.0;17380800.0;17258223.0;17181032.0;17099462.0;17024409.0;16915277.0;16789679.0;16705663.0;16614290.0;16543480.0;16428995.0
Sercomtel;Quantidade de acessos em serviço;208609.0;209625.0;211425.0;213066.0;214500.0;212439.0;218593.0;220488.0;224025.0;226681.0;228468.0;229787.0
Telefônica;Quantidade de acessos em serviço;10221369.0;10646959.0;10243450.0;10225063.0;10797555.0;10587078.0;10815068.0;10791351.0;10793936.0;10742512.0;10753870.0;10637586.0
TIM/Intelig;Quantidade de acessos em serviço;665946.0;661771.0;656821.0;660723.0;663168.0;667582.0;503022.0;501277.0;501585.0;504551.0;406943.0;401658.0
CTBC Telecom;Índice de Reclamações;0.251;0.28;0.164;0.176;0.264;0.248;0.371;0.338;0.31;0.204;0.195;0.126
Embratel;Índice de Reclamações;0.825;0.821;0.574;0.54;0.913;0.802;0.921;0.813;0.776;0.657;0.591;0.354
GVT;Índice de Reclamações;1.231;1.178;1.008;0.887;1.28;1.139;1.549;1.29;1.434;1.357;1.253;0.789
OI;Índice de Reclamações;2.401;2.27;1.429;1.733;2.92;2.866;3.703;3.151;3.263;2.8;2.593;1.703
Sercomtel;Índice de Reclamações;0.182;0.191;0.09;0.155;0.182;0.184;0.27;0.168;0.196;0.194;0.171;0.17
Telefônica;Índice de Reclamações;1.608;1.44;1.053;1.026;1.358;1.461;1.638;1.573;1.705;1.414;1.242;0.775
TIM/Intelig;Índice de Reclamações;0.764;0.783;0.534;0.598;0.761;0.756;1.199;1.219;1.095;0.823;0.922;0.729
CTBC Telecom;Quantidade de resolvidas;222.0;248.0;146.0;155.0;238.0;220.0;335.0;306.0;264.0;175.0;178.0;115.0
Embratel;Quantidade de resolvidas;8175.0;8131.0;5827.0;4811.0;9543.0;8357.0;9775.0;8805.0;8338.0;7179.0;6499.0;3833.0
GVT;Quantidade de resolvidas;5059.0;4677.0;4027.0;3287.0;5298.0;4808.0;6448.0;5668.0;6285.0;5828.0;5546.0;3377.0
OI;Quantidade de resolvidas;35116.0;32792.0;17889.0;17876.0;41459.0;22593.0;50213.0;39407.0;33665.0;34508.0;39227.0;26723.0
Sercomtel;Quantidade de resolvidas;37.0;40.0;18.0;32.0;39.0;39.0;59.0;37.0;43.0;44.0;37.0;39.0
Telefônica;Quantidade de resolvidas;16422.0;15302.0;10406.0;9575.0;14219.0;15173.0;17167.0;16084.0;17322.0;14188.0;12632.0;8011.0
TIM/Intelig;Quantidade de resolvidas;500.0;507.0;346.0;360.0;14219.0;470.0;549.0;606.0;514.0;389.0;375.0;271.0
CTBC Telecom;Quantidade de reabertas;24.0;13.0;10.0;11.0;20.0;11.0;24.0;34.0;18.0;25.0;24.0;18.0
