GRUPO ECONÔMICO;VARIÁVEL;2014-01-01 00:00:00;2014-02-01 00:00:00;2014-03-01 00:00:00;2014-04-01 00:00:00;2014-05-01 00:00:00;2014-06-01 00:00:00;2014-07-01 00:00:00;2014-08-01 00:00:00;2014-09-01 00:00:00;2014-10-01 00:00:00;2014-11-01 00:00:00;2014-12-01 00:00:00
Embratel;Quantidade de reabertas;748.0;764.0;553.0;400.0;886.0;684.0;975.0;611.0;640.0;516.0;458.0;250.0
GVT;Quantidade de reabertas;338.0;263.0;254.0;224.0;366.0;321.0;617.0;394.0;385.0;336.0;352.0;197.0
OI;Quantidade de reabertas;2694.0;2446.0;1097.0;1378.0;3105.0;1700.0;3677.0;4417.0;2142.0;2201.0;2796.0;1671.0
Sercomtel;Quantidade de reabertas;2.0;5.0;1.0;2.0;3.0;2.0;6.0;7.0;5.0;4.0;16.0;22.0
Telefônica;Quantidade de reabertas;1308.0;908.0;635.0;565.0;1084.0;1197.0;1572.0;1392.0;1572.0;1122.0;891.0;490.0
TIM/Intelig;Quantidade de reabertas;20.0;30.0;25.0;22.0;36.0;14.0;26.0;22.0;18.0;16.0;23.0;12.0
CTBC Telecom;Taxa de Reabertas;10.811;5.242;6.849;7.097;8.403;5.0;7.164;11.111;6.818;14.286;13.483;15.652
Embratel;Taxa de Reabertas;9.15;9.396;9.49;8.314;9.284;8.185;9.974;6.939;7.676;7.188;7.047;6.522
GVT;Taxa de Reabertas;6.681;5.623;6.307;6.815;6.908;6.676;9.569;6.951;6.126;5.765;6.347;5.834
OI;Taxa de Reabertas;7.672;7.459;6.132;7.709;7.489;7.524;7.323;11.209;6.363;6.378;7.128;6.253
Sercomtel;Taxa de Reabertas;5.405;12.5;5.556;6.25;7.692;5.128;10.169;18.919;11.628;9.091;43.243;56.41
Telefônica;Taxa de Reabertas;7.965;5.934;6.102;5.901;7.624;7.889;9.157;8.655;9.075;7.908;7.054;6.117
TIM/Intelig;Taxa de Reabertas;4.0;5.917;7.225;6.111;7.186;2.979;4.736;3.63;3.502;4.113;6.133;4.428
CTBC Telecom;Quantidade de Sol. Resolvidas em até 5 dias;192.0;223.0;130.0;134.0;217.0;196.0;282.0;249.0;229.0;146.0;144.0;88.0
Embratel;Quantidade de Sol. Resolvidas em até 5 dias;7282.0;7203.0;5005.0;4082.0;8367.0;7140.0;8543.0;7674.0;7022.0;6280.0;5566.0;3514.0
GVT;Quantidade de Sol. Resolvidas em até 5 dias;4376.0;3858.0;3070.0;2884.0;4862.0;4268.0;5827.0;4958.0;5525.0;5167.0;4771.0;2563.0
OI;Quantidade de Sol. Resolvidas em até 5 dias;26975.0;23302.0;14670.0;15153.0;25907.0;18885.0;26813.0;27459.0;21381.0;22782.0;24398.0;17716.0
Sercomtel;Quantidade de Sol. Resolvidas em até 5 dias;35.0;32.0;17.0;29.0;37.0;36.0;57.0;33.0;39.0;43.0;26.0;26.0
Telefônica;Quantidade de Sol. Resolvidas em até 5 dias;14197.0;12010.0;8282.0;7687.0;12045.0;12291.0;14212.0;12717.0;13500.0;11231.0;9616.0;6392.0
TIM/Intelig;Quantidade de Sol. Resolvidas em até 5 dias;435.0;438.0;285.0;328.0;438.0;441.0;519.0;527.0;13500.0;369.0;325.0;257.0
CTBC Telecom;Taxa de Resolvidas em 5 dias Úteis;86.486;89.919;88.435;84.81;91.176;89.091;84.179;81.373;86.742;83.429;80.899;76.522
Embratel;Taxa de Resolvidas em 5 dias Úteis;81.82;80.444;79.13;68.249;82.215;79.616;82.461;83.304;79.389;83.212;81.339;85.291
GVT;Taxa de Resolvidas em 5 dias Úteis;85.252;77.814;71.612;75.636;87.509;85.651;85.477;86.497;86.18;84.414;83.878;71.234
OI;Taxa de Resolvidas em 5 dias Úteis;64.636;59.057;59.494;50.878;51.893;38.699;42.802;51.901;39.218;48.967;56.882;63.31
Sercomtel;Taxa de Resolvidas em 5 dias Úteis;92.105;80.0;89.474;87.879;94.872;92.308;96.61;89.189;88.636;97.727;66.667;66.667
Telefônica;Taxa de Resolvidas em 5 dias Úteis;86.404;78.348;76.749;73.286;82.168;79.481;80.208;74.916;73.342;73.927;72.003;77.516
TIM/Intelig;Taxa de Resolvidas em 5 dias Úteis;85.462;84.556;81.197;83.038;86.733;87.327;86.07;86.252;87.067;88.916;86.667;87.713
CTBC Telecom;Quantidade de Reclamações no Período;874.0;718.0;711.0;617.0;553.0;543.0;1236.0;1592.0;2609.0;923.0;769.0;627.0
Embratel;Quantidade de Reclamações no Período;29299.0;26960.0;26621.0;24178.0;21262.0;22489.0;50258.0;58946.0;85895.0;28799.0;26424.0;23681.0
GVT;Quantidade de Reclamações no Período;18049.0;15864.0;15275.0;14369.0;13059.0;13653.0;28760.0;34734.0;52883.0;19250.0;18885.0;18573.0
OI;Quantidade de Reclamações no Período;116230.0;121715.0;125436.0;105596.0;93750.0;104321.0;262694.0;328044.0;502837.0;172411.0;158532.0;146336.0
Sercomtel;Quantidade de Reclamações no Período;150.0;111.0;113.0;98.0;93.0;91.0;222.0;274.0;409.0;142.0;129.0;129.0
Telefônica;Quantidade de Reclamações no Período;47712.0;46369.0;46564.0;42566.0;36622.0;35944.0;81324.0;95714.0;151127.0;53789.0;52069.0;47811.0
TIM/Intelig;Quantidade de Reclamações no Período;1672.0;2059.0;1869.0;1521.0;1266.0;1251.0;2822.0;3230.0;5154.0;1778.0;1617.0;1365.0
CTBC Telecom;Quantidade de Sol. Resolvidas no Período;872.0;716.0;711.0;617.0;553.0;543.0;1236.0;1592.0;2609.0;923.0;769.0;627.0
Embratel;Quantidade de Sol. Resolvidas no Período;28913.0;26656.0;26374.0;23962.0;21052.0;22297.0;49882.0;58572.0;85206.0;28571.0;26233.0;23464.0
GVT;Quantidade de Sol. Resolvidas no Período;18030.0;15803.0;15209.0;14166.0;12968.0;13630.0;28578.0;34672.0;52670.0;19137.0;18787.0;18409.0
OI;Quantidade de Sol. Resolvidas no Período;115663.0;121162.0;124850.0;105098.0;93269.0;103895.0;261338.0;326438.0;501100.0;171565.0;157834.0;146197.0
Sercomtel;Quantidade de Sol. Resolvidas no Período;150.0;111.0;113.0;98.0;93.0;91.0;222.0;274.0;409.0;142.0;129.0;129.0
Telefônica;Quantidade de Sol. Resolvidas no Período;47707.0;46354.0;46519.0;42522.0;36490.0;35899.0;81026.0;95202.0;150142.0;53474.0;51696.0;47647.0
TIM/Intelig;Quantidade de Sol. Resolvidas no Período;1661.0;2046.0;1852.0;1503.0;1251.0;1240.0;2816.0;3210.0;5142.0;1775.0;1614.0;1362.0
CTBC Telecom;Taxa de Resolvidas no Período;99.771;99.719;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Embratel;Taxa de Resolvidas no Período;98.683;96.04;99.072;99.107;99.012;99.146;99.252;99.366;99.198;99.208;99.277;99.084
GVT;Taxa de Resolvidas no Período;99.895;97.878;99.568;98.587;99.303;99.832;99.367;99.822;99.597;99.413;99.481;99.117
OI;Taxa de Resolvidas no Período;99.512;94.313;99.533;99.528;99.487;99.592;99.484;99.51;99.655;99.509;99.56;99.905
Sercomtel;Taxa de Resolvidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
Telefônica;Taxa de Resolvidas no Período;99.99;99.921;99.903;99.897;99.64;99.875;99.634;99.465;99.348;99.414;99.284;99.657
TIM/Intelig;Taxa de Resolvidas no Período;99.342;99.037;99.09;98.817;98.815;99.121;99.787;99.381;99.767;99.831;99.814;99.78
