GRUPO ECONÔMICO;VARIÁVEL;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12
VIVO;Quantidade de reclamações;24817.0;28324.0;42026.0;36267.0;38591.0;42329.0;46453.0;48139.0;46107.0;41163.0;38966.0;43155.0
ALGAR;Quantidade de Reclamações no Período;355.0;329.0;340.0;432.0;635.0;701.0;733.0;634.0;592.0;555.0;520.0;490.0
CLARO;Quantidade de Reclamações no Período;59913.0;53812.0;57635.0;76967.0;92130.0;104476.0;107048.0;120739.0;133243.0;132857.0;123708.0;117090.0
OI;Quantidade de Reclamações no Período;52602.0;48059.0;45998.0;54256.0;61512.0;71767.0;76215.0;82579.0;83829.0;81951.0;76211.0;72323.0
SERCOMTEL;Quantidade de Reclamações no Período;8.0;4.0;7.0;12.0;11.0;8.0;7.0;14.0;24.0;27.0;27.0;36.0
TIM;Quantidade de Reclamações no Período;84347.0;76357.0;75783.0;97636.0;112397.0;125398.0;124615.0;134449.0;134437.0;130261.0;120358.0;124103.0
VIVO;Quantidade de Reclamações no Período;76416.0;75143.0;75714.0;95299.0;106756.0;116975.0;117211.0;127368.0;136923.0;140710.0;135427.0;126254.0
ALGAR;Quantidade de resolvidas;98.0;154.0;156.0;303.0;217.0;211.0;206.0;175.0;174.0;171.0;145.0;145.0
CLARO;Quantidade de resolvidas;17875.0;24319.0;34426.0;32867.0;35020.0;36870.0;46468.0;41144.0;39066.0;40105.0;37344.0;36767.0
OI;Quantidade de resolvidas;14516.0;16715.0;19174.0;21683.0;25947.0;27070.0;28119.0;28129.0;25484.0;22397.0;24297.0;23697.0
SERCOMTEL;Quantidade de resolvidas;2.0;4.0;4.0;1.0;1.0;5.0;8.0;10.0;5.0;8.0;20.0;36.0
TIM;Quantidade de resolvidas;23702.0;28476.0;44233.0;38403.0;41227.0;43743.0;48502.0;40619.0;39786.0;38361.0;45288.0;45558.0
VIVO;Quantidade de resolvidas;24660.0;25591.0;41662.0;35965.0;38304.0;41960.0;46189.0;47170.0;46091.0;41121.0;38850.0;42846.0
ALGAR;Quantidade de Sol. Resolvidas em até 5 dias;68.0;132.0;147.0;257.0;184.0;177.0;171.0;148.0;147.0;132.0;131.0;124.0
CLARO;Quantidade de Sol. Resolvidas em até 5 dias;15118.0;20834.0;29690.0;28656.0;30139.0;30209.0;40064.0;36187.0;33801.0;34893.0;32167.0;31307.0
OI;Quantidade de Sol. Resolvidas em até 5 dias;12369.0;14249.0;19396.0;18351.0;21816.0;20567.0;22832.0;23710.0;21687.0;19266.0;20410.0;19856.0
SERCOMTEL;Quantidade de Sol. Resolvidas em até 5 dias;2.0;4.0;2.0;0.0;0.0;2.0;6.0;8.0;4.0;5.0;12.0;22.0
TIM;Quantidade de Sol. Resolvidas em até 5 dias;20735.0;24872.0;38734.0;33541.0;36155.0;37922.0;41723.0;35878.0;34188.0;33392.0;38980.0;39143.0
VIVO;Quantidade de Sol. Resolvidas em até 5 dias;21794.0;24413.0;36290.0;31535.0;33877.0;36621.0;39773.0;41373.0;39261.0;35356.0;31579.0;36260.0
ALGAR;Quantidade de Sol. Resolvidas no Período;355.0;329.0;337.0;432.0;635.0;701.0;733.0;634.0;592.0;555.0;520.0;490.0
CLARO;Quantidade de Sol. Resolvidas no Período;59902.0;53765.0;57474.0;76864.0;92102.0;104353.0;106987.0;120649.0;133141.0;132788.0;123643.0;116986.0
OI;Quantidade de Sol. Resolvidas no Período;52455.0;47874.0;45600.0;54082.0;61323.0;71567.0;76016.0;82330.0;83582.0;81661.0;75938.0;72057.0
SERCOMTEL;Quantidade de Sol. Resolvidas no Período;8.0;4.0;7.0;12.0;11.0;8.0;7.0;14.0;24.0;27.0;27.0;36.0
TIM;Quantidade de Sol. Resolvidas no Período;84057.0;76122.0;74994.0;97112.0;111808.0;124979.0;124331.0;134005.0;133888.0;129819.0;119936.0;123530.0
VIVO;Quantidade de Sol. Resolvidas no Período;76359.0;74137.0;75534.0;95003.0;106572.0;116671.0;116714.0;126970.0;136317.0;140444.0;135356.0;126207.0
ALGAR;Taxa de Reabertas;26.530612244898;9.74025974025974;14.1025641025641;9.24092409240924;11.0599078341014;15.1658767772512;14.5631067961165;11.4285714285714;11.4942528735632;8.18713450292398;4.82758620689655;7.58620689655172
CLARO;Taxa de Reabertas;8.16223776223776;6.63267404087339;7.74705164701098;6.94009188547783;8.68360936607653;7.42880390561432;7.86562795902557;6.80050554151274;7.51548661239953;7.38311931180651;7.5058911739503;7.68896020888296
OI;Taxa de Reabertas;7.99807109396528;7.92102901585402;9.50766663189736;10.3352857076973;10.6794619801904;8.61100849649058;11.085031473381;8.89117992107789;7.73426463663475;7.94749296780819;9.5485039305264;11.1153310545639
SERCOMTEL;Taxa de Reabertas;0.0;0.0;25.0;100.0;100.0;20.0;25.0;30.0;40.0;12.5;25.0;33.3333333333333
