GRUPO ECONÔMICO;VARIÁVEL;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12
ALGAR;Indicador de Desempenho no Atendimento (IDA);100.0;100.0;100.0;100.0;100.0;94.833;100.0;100.0;100.0;100.0;100.0;100.0
EMBRATEL;Indicador de Desempenho no Atendimento (IDA);86.694;86.412;86.289;92.607;87.057;89.63;88.936;82.836;89.014;87.571;89.092;91.578
OI;Indicador de Desempenho no Atendimento (IDA);26.042;29.595;17.23;42.147;30.685;41.99;33.166;17.176;38.095;33.711;44.037;55.423
SERCOMTEL;Indicador de Desempenho no Atendimento (IDA);91.667;70.626;70.971;76.804;69.399;72.723;92.593;72.474;68.876;79.546;80.775;65.893
TIM;Indicador de Desempenho no Atendimento (IDA);31.799;40.078;31.813;46.424;21.066;18.452;44.586;37.309;48.41;40.045;41.881;34.291
VIVO;Indicador de Desempenho no Atendimento (IDA);64.326;72.12;66.665;78.276;70.307;72.116;74.015;69.38;76.508;73.658;75.452;78.631
ALGAR;Índice de Reclamações;0.256;0.281;0.308;0.264;0.286;0.245;0.231;0.233;0.249;0.278;0.256;0.254
EMBRATEL;Índice de Reclamações;0.839;0.666;0.854;0.626;0.826;0.733;0.758;0.978;0.755;0.807;0.753;0.663
OI;Índice de Reclamações;2.823;2.451;2.873;2.147;2.57;2.195;2.304;2.841;2.354;2.54;2.182;1.965
SERCOMTEL;Índice de Reclamações;0.107;0.088;0.247;0.133;0.147;0.174;0.204;0.173;0.148;0.198;0.278;0.267
TIM;Índice de Reclamações;2.343;1.976;2.231;1.769;2.524;2.669;1.782;2.078;1.681;1.985;2.017;2.12
VIVO;Índice de Reclamações;1.644;1.364;1.56;1.142;1.429;1.364;1.295;1.462;1.206;1.308;1.244;1.129
ALGAR;Quantidade de acessos em serviço;987456.0;993312.0;998825.0;1018214.0;1033260.0;1034804.0;1041610.0;1041610.0;1070399.0;1076587.0;1080230.0;1090191.0
EMBRATEL;Quantidade de acessos em serviço;11122408.0;11021311.0;10969040.0;10920660.0;10873717.0;10827462.0;10829377.0;10829377.0;10855122.0;10867522.0;10886102.0;10873328.0
OI;Quantidade de acessos em serviço;14283978.0;14226796.0;14151416.0;14099843.0;14034550.0;13978211.0;13920203.0;13920203.0;13767598.0;13681539.0;13587752.0;13494731.0
SERCOMTEL;Quantidade de acessos em serviço;262612.0;262632.0;263599.0;264085.0;264493.0;264612.0;265253.0;265253.0;263943.0;262956.0;262989.0;261797.0
TIM;Quantidade de acessos em serviço;522451.0;523660.0;525247.0;529160.0;532863.0;541730.0;705816.0;705816.0;717307.0;718886.0;674111.0;676492.0
VIVO;Quantidade de acessos em serviço;14370427.0;14272255.0;14367367.0;14350549.0;14324647.0;14323118.0;14276681.0;14276681.0;14198892.0;14159368.0;14175843.0;14132892.0
ALGAR;Quantidade de reabertas;20.0;12.0;12.0;13.0;19.0;21.0;15.0;18.0;18.0;21.0;12.0;18.0
EMBRATEL;Quantidade de reabertas;442.0;523.0;601.0;339.0;456.0;444.0;408.0;490.0;421.0;470.0;477.0;417.0
OI;Quantidade de reabertas;3550.0;3987.0;5096.0;3966.0;4551.0;3434.0;3964.0;5301.0;3372.0;3179.0;2538.0;1975.0
SERCOMTEL;Quantidade de reabertas;1.0;5.0;6.0;7.0;9.0;12.0;2.0;6.0;6.0;9.0;8.0;13.0
TIM;Quantidade de reabertas;145.0;143.0;188.0;134.0;237.0;220.0;182.0;194.0;159.0;184.0;144.0;220.0
VIVO;Quantidade de reabertas;1566.0;1233.0;1477.0;904.0;1189.0;1176.0;1167.0;1281.0;996.0;1177.0;1073.0;885.0
ALGAR;Quantidade de reclamações;253.0;279.0;308.0;269.0;296.0;254.0;241.0;243.0;267.0;299.0;277.0;277.0
EMBRATEL;Quantidade de reclamações;9332.0;7341.0;9363.0;6838.0;8981.0;7940.0;8212.0;10590.0;8201.0;8775.0;8194.0;7211.0
OI;Quantidade de reclamações;40330.0;34875.0;40654.0;30273.0;36070.0;30676.0;32077.0;39549.0;32404.0;34745.0;29645.0;26514.0
SERCOMTEL;Quantidade de reclamações;28.0;23.0;65.0;35.0;39.0;46.0;54.0;46.0;39.0;52.0;73.0;70.0
