GRUPO ECONÔMICO;VARIÁVEL;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12
TIM;Quantidade de reclamações;1224.0;1035.0;1172.0;936.0;1345.0;1446.0;1258.0;1467.0;1206.0;1427.0;1360.0;1434.0
VIVO;Quantidade de reclamações;23629.0;19463.0;22414.0;16389.0;20469.0;19534.0;18495.0;20877.0;17120.0;18525.0;17631.0;15960.0
ALGAR;Quantidade de Reclamações no Período;786.0;780.0;806.0;840.0;856.0;873.0;819.0;791.0;738.0;750.0;808.0;842.0
EMBRATEL;Quantidade de Reclamações no Período;26204.0;26382.0;25038.0;26036.0;23540.0;25180.0;23754.0;25127.0;26737.0;27001.0;27566.0;25170.0
OI;Quantidade de Reclamações no Período;113832.0;118661.0;114008.0;115858.0;105799.0;106995.0;97018.0;98821.0;102302.0;104030.0;106700.0;96795.0
SERCOMTEL;Quantidade de Reclamações no Período;102.0;104.0;88.0;116.0;123.0;139.0;120.0;138.0;145.0;138.0;137.0;163.0
TIM;Quantidade de Reclamações no Período;3510.0;3603.0;3442.0;3428.0;3140.0;3451.0;3724.0;4047.0;4169.0;3930.0;4098.0;3992.0
VIVO;Quantidade de Reclamações no Período;61481.0;64953.0;63228.0;65512.0;58275.0;59276.0;56402.0;58513.0;58924.0;56503.0;56526.0;53281.0
ALGAR;Quantidade de Respondidas;253.0;279.0;308.0;269.0;296.0;254.0;241.0;243.0;254.0;299.0;277.0;277.0
EMBRATEL;Quantidade de Respondidas;9298.0;7333.0;9270.0;6820.0;8967.0;7929.0;8198.0;10578.0;8190.0;8768.0;8180.0;6985.0
OI;Quantidade de Respondidas;40126.0;34824.0;40500.0;30181.0;35899.0;30442.0;31812.0;39348.0;32293.0;34581.0;29600.0;26341.0
SERCOMTEL;Quantidade de Respondidas;28.0;21.0;63.0;32.0;35.0;42.0;51.0;37.0;36.0;49.0;68.0;42.0
TIM;Quantidade de Respondidas;1224.0;1034.0;1171.0;935.0;1345.0;1441.0;1258.0;1461.0;1200.0;1426.0;1351.0;1431.0
VIVO;Quantidade de Respondidas;23612.0;19450.0;22404.0;16381.0;20461.0;19519.0;18487.0;20869.0;17117.0;18508.0;17613.0;15947.0
ALGAR;Quantidade de Sol. Respondidas em até 5 dias;228.0;257.0;284.0;253.0;272.0;228.0;212.0;223.0;235.0;260.0;249.0;255.0
EMBRATEL;Quantidade de Sol. Respondidas em até 5 dias;8290.0;6221.0;8176.0;6047.0;7934.0;7038.0;7290.0;9373.0;7336.0;7816.0;7265.0;6453.0
OI;Quantidade de Sol. Respondidas em até 5 dias;34591.0;29481.0;34427.0;26023.0;30770.0;26761.0;27230.0;33042.0;27782.0;29946.0;25773.0;23273.0
SERCOMTEL;Quantidade de Sol. Respondidas em até 5 dias;21.0;13.0;20.0;25.0;22.0;33.0;42.0;28.0;18.0;38.0;47.0;39.0
TIM;Quantidade de Sol. Respondidas em até 5 dias;1014.0;837.0;955.0;782.0;1030.0;1105.0;999.0;1174.0;967.0;1138.0;1139.0;1214.0
VIVO;Quantidade de Sol. Respondidas em até 5 dias;20453.0;16863.0;19442.0;14383.0;17885.0;16970.0;15929.0;18045.0;14700.0;16059.0;15311.0;13849.0
ALGAR;Quantidade de Sol. Respondidas no Período;786.0;780.0;806.0;840.0;856.0;873.0;819.0;791.0;737.0;750.0;808.0;842.0
EMBRATEL;Quantidade de Sol. Respondidas no Período;26168.0;26342.0;25030.0;26024.0;23520.0;25179.0;23753.0;25121.0;26729.0;26985.0;27549.0;25142.0
OI;Quantidade de Sol. Respondidas no Período;113593.0;118403.0;113796.0;115631.0;105496.0;106669.0;96755.0;98619.0;102063.0;103738.0;106489.0;96453.0
SERCOMTEL;Quantidade de Sol. Respondidas no Período;102.0;104.0;88.0;116.0;122.0;138.0;120.0;135.0;143.0;137.0;136.0;162.0
TIM;Quantidade de Sol. Respondidas no Período;3509.0;3602.0;3442.0;3428.0;3140.0;3451.0;3724.0;4047.0;4169.0;3930.0;4098.0;3950.0
VIVO;Quantidade de Sol. Respondidas no Período;61475.0;64927.0;63204.0;65493.0;58264.0;59264.0;56387.0;58506.0;58919.0;56498.0;56505.0;53251.0
ALGAR;Taxa de Reabertas;7.905;4.301;3.896;4.833;6.419;8.268;6.224;7.407;7.087;7.023;4.332;6.498
EMBRATEL;Taxa de Reabertas;4.754;7.132;6.483;4.971;5.085;5.6;4.977;4.632;5.14;5.36;5.831;5.97
OI;Taxa de Reabertas;8.847;11.449;12.583;13.141;12.677;11.28;12.461;13.472;10.442;9.193;8.574;7.498
SERCOMTEL;Taxa de Reabertas;3.571;23.81;9.524;21.875;25.714;28.571;3.922;16.216;16.667;18.367;11.765;30.952
TIM;Taxa de Reabertas;11.846;13.83;16.055;14.332;17.621;15.267;14.467;13.279;13.25;12.903;10.659;15.374
VIVO;Taxa de Reabertas;6.632;6.339;6.593;5.519;5.811;6.025;6.313;6.138;5.819;6.359;6.092;5.55
ALGAR;Taxa de Respondidas em 5 dias Úteis;90.119;92.115;92.208;94.052;91.892;89.764;87.967;91.77;88.015;86.957;89.892;92.058
EMBRATEL;Taxa de Respondidas em 5 dias Úteis;88.834;84.743;87.322;88.432;88.342;88.64;88.773;88.508;89.453;89.071;88.662;89.488
OI;Taxa de Respondidas em 5 dias Úteis;85.77;84.533;84.683;85.961;85.306;87.238;84.889;83.547;85.736;86.188;86.939;87.776
SERCOMTEL;Taxa de Respondidas em 5 dias Úteis;75.0;56.522;30.769;71.429;56.41;71.739;77.778;60.87;46.154;73.077;64.384;55.714
TIM;Taxa de Respondidas em 5 dias Úteis;82.843;80.87;81.485;83.547;76.58;76.418;79.412;80.027;80.182;79.748;83.75;84.658
VIVO;Taxa de Respondidas em 5 dias Úteis;86.559;86.641;86.74;87.76;87.376;86.874;86.126;86.435;85.864;86.688;86.841;86.773
ALGAR;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.864;100.0;100.0;100.0
EMBRATEL;Taxa de Respondidas no Período;99.863;99.848;99.968;99.954;99.915;99.996;99.996;99.976;99.97;99.941;99.938;99.889
OI;Taxa de Respondidas no Período;99.79;99.783;99.814;99.804;99.714;99.695;99.729;99.796;99.766;99.719;99.802;99.647
SERCOMTEL;Taxa de Respondidas no Período;100.0;100.0;100.0;100.0;99.187;99.281;100.0;97.826;98.621;99.275;99.27;99.387
TIM;Taxa de Respondidas no Período;99.972;99.972;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;98.948
VIVO;Taxa de Respondidas no Período;99.99;99.96;99.962;99.971;99.981;99.98;99.973;99.988;99.992;99.991;99.963;99.944
